,0,1,2,3,4,5,6,7,8,9
0,0.0,368.71805,850.1035,399.92374,959.7932,158.46451,2407.9287,385.47372,325.8481,5341.5063
1,368.71805,0.0,614.87964,520.857,889.59766,440.63818,2481.8086,689.31635,294.2414,5385.008
2,850.1035,614.87964,0.0,926.88135,970.0129,884.43713,2578.4087,1030.886,821.71954,5434.6187
3,399.92374,520.857,926.88135,0.0,1025.7339,492.8367,2071.586,642.2453,407.15353,5030.6787
4,959.7932,889.59766,970.0129,1025.7339,0.0,991.3597,2575.2778,1121.2953,933.21704,5433.4097
5,158.46451,440.63818,884.43713,492.8367,991.3597,0.0,2453.7666,280.04108,413.23602,5377.2705
6,2407.9287,2481.8086,2578.4087,2071.586,2575.2778,2453.7666,0.0,2446.8162,2345.4966,3046.9492
7,385.47372,689.31635,1030.886,642.2453,1121.2953,280.04108,2446.8162,0.0,665.2511,5369.6587
8,325.8481,294.2414,821.71954,407.15353,933.21704,413.23602,2345.4966,665.2511,0.0,5228.5825
9,5341.5063,5385.008,5434.6187,5030.6787,5433.4097,5377.2705,3046.9492,5369.6587,5228.5825,0.0
