clones,populations
Clone 0,HSC_MPP
Clone 1,MEMP
Clone 2,Megakaryocyte
Clone 3,Mast cell
Clone 4,Early Erythroid
Clone 5,Mid Erythroid
Clone 6,Late Erythroid
Clone 7,Neutrophil-myeloid progenitor
Clone 8,DC
Clone 9,Monocyte precursor
Clone BG,Monocyte
